context,context_gene,dep_gene,pair,ky_pos,ky_evaluable
EXPR_LOW:ZNF260,ZNF260,ZNF492,ZNF260|ZNF492,14,True
EXPR_LOW:H2AC19,H2AC19,H2AC17,H2AC17|H2AC19,5,True
EXPR_LOW:H2AC19,H2AC19,H2AC20,H2AC19|H2AC20,5,True
EXPR_LOW:ZNF595,ZNF595,ZNF492,ZNF492|ZNF595,30,True
LOF:ARID1B,ARID1B,ARID1A,ARID1A|ARID1B,16,True
LOF:ATP2B4,ATP2B4,ATP2B1,ATP2B1|ATP2B4,3,False
LOF:CHD6,CHD6,CHD8,CHD6|CHD8,6,True
LOF:CHD9,CHD9,CHD8,CHD8|CHD9,10,True
LOF:CREBBP,CREBBP,EP300,CREBBP|EP300,17,True
LOF:EP300,EP300,CREBBP,CREBBP|EP300,34,True
LOF:KDM2B,KDM2B,KDM2A,KDM2A|KDM2B,11,True
LOF:KDM5A,KDM5A,KDM5C,KDM5A|KDM5C,9,True
LOF:KDM5B,KDM5B,KDM5C,KDM5B|KDM5C,6,True
LOF:MYH1,MYH1,MYH9,MYH1|MYH9,6,True
LOF:PDS5B,PDS5B,PDS5A,PDS5A|PDS5B,12,True
LOF:SMARCA4,SMARCA4,SMARCA2,SMARCA2|SMARCA4,14,True
LOF:SOX9,SOX9,SOX10,SOX10|SOX9,6,True
LOF:STAG2,STAG2,STAG1,STAG1|STAG2,9,True
LOF:ZFP36L2,ZFP36L2,ZFP36L1,ZFP36L1|ZFP36L2,8,True
