set,context,dep_gene,tested,replicated,result
primary,EXPR_LOW:SMARCA2,ZNF217,True,False,"{""res"": {""beta"": -0.03741976468440023, ""r"": -0.03932843264871653, ""p_two_sided"": 0.33498555168970395, ""se"": 0.03878118274423821, ""df"": 601, ""n"": 657, ""n_pos"": 26, ""n_neg"": 631, ""dep_sd"": 0.1829498256995091}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.16749277584485198, ""d_discovery_shrunken"": 0.6384006316725143, ""d_holdout"": 0.20453566731384232, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:ZEB1,STX4,True,False,"{""res"": {""beta"": -0.029374641360015427, ""r"": -0.06769538596018185, ""p_two_sided"": 0.14672399275862916, ""se"": 0.020207368497409294, ""df"": 459, ""n"": 509, ""n_pos"": 196, ""n_neg"": 313, ""dep_sd"": 0.18482744829107817}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.07336199637931458, ""d_discovery_shrunken"": 0.6763949691490504, ""d_holdout"": 0.15893008117362714, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:MYO5A,KLF5,True,True,"{""res"": {""beta"": -0.10693252785626764, ""r"": -0.132201984720882, ""p_two_sided"": 0.0011382583982369897, ""se"": 0.03270437881402465, ""df"": 601, ""n"": 657, ""n_pos"": 48, ""n_neg"": 609, ""dep_sd"": 0.19810186807526023}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.0005691291991184948, ""d_discovery_shrunken"": 0.5735200864722683, ""d_holdout"": 0.5397855603039707, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:KATNAL1,STX4,True,True,"{""res"": {""beta"": -0.06556195201151502, ""r"": -0.09928177936317334, ""p_two_sided"": 0.03307672761779228, ""se"": 0.030670790502978128, ""df"": 459, ""n"": 509, ""n_pos"": 45, ""n_neg"": 464, ""dep_sd"": 0.18482744829107817}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.01653836380889614, ""d_discovery_shrunken"": 0.6317537824160455, ""d_holdout"": 0.3547197811672638, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:HTATIP2,SRD5A3,True,False,"{""res"": {""beta"": 0.008276242314851722, ""r"": 0.018655436946049625, ""p_two_sided"": 0.7379802915411141, ""se"": 0.024718621663221446, ""df"": 322, ""n"": 366, ""n_pos"": 33, ""n_neg"": 333, ""dep_sd"": 0.11533392903160163}, ""rep"": {""same_sign"": false, ""p_one_sided"": 0.6310098542294429, ""d_discovery_shrunken"": 1.0342235314335395, ""d_holdout"": 0.07175895579334701, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:BNIP3,KRAS,True,True,"{""res"": {""beta"": -0.12757983925400104, ""r"": -0.08605589569580012, ""p_two_sided"": 0.03432399938997439, ""se"": 0.06014903607491474, ""df"": 603, ""n"": 659, ""n_pos"": 49, ""n_neg"": 610, ""dep_sd"": 0.3992857559887101}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.017161999694987193, ""d_discovery_shrunken"": 0.4302511457482834, ""d_holdout"": 0.31952013649494776, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:RDX,TTC7A,True,True,"{""res"": {""beta"": -0.13261293437575614, ""r"": -0.13808442336474652, ""p_two_sided"": 0.002011397427220529, ""se"": 0.042709054828355776, ""df"": 496, ""n"": 548, ""n_pos"": 16, ""n_neg"": 532, ""dep_sd"": 0.15793510494332882}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.0010056987136102646, ""d_discovery_shrunken"": 0.8162516763758055, ""d_holdout"": 0.8396672444884313, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:VPS35L,STAMBP,True,False,"{""res"": {""beta"": -0.03986378300754674, ""r"": -0.0469943595151814, ""p_two_sided"": 0.24922311415414303, ""se"": 0.034563319481011885, ""df"": 601, ""n"": 657, ""n_pos"": 38, ""n_neg"": 619, ""dep_sd"": 0.19539094942383206}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.12461155707707151, ""d_discovery_shrunken"": 0.6379236169793617, ""d_holdout"": 0.20402062186143669, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:SLC2A3,SLC2A1,True,False,"{""res"": {""beta"": -0.009405178399244832, ""r"": -0.025707197720001608, ""p_two_sided"": 0.5286541978243607, ""se"": 0.01491871826607304, ""df"": 601, ""n"": 657, ""n_pos"": 208, ""n_neg"": 449, ""dep_sd"": 0.15995130271308508}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.26432709891218037, ""d_discovery_shrunken"": 0.5404714957282812, ""d_holdout"": 0.05880026132775864, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:NR3C1,CTNNB1,True,True,"{""res"": {""beta"": -0.1987271967769412, ""r"": -0.11798353933638556, ""p_two_sided"": 0.0036588719952790915, ""se"": 0.06811351300394512, ""df"": 603, ""n"": 659, ""n_pos"": 59, ""n_neg"": 600, ""dep_sd"": 0.5363550151417777}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.0018294359976395458, ""d_discovery_shrunken"": 0.6222252109957186, ""d_holdout"": 0.37051428842221323, ""magnitude_ok"": true, ""replicated"": true}}"
