set,context,dep_gene,tested,replicated,result
primary,EXPR_LOW:PHC1,KLF5,True,False,"{""n_pos"": 7, ""n_neg"": 111, ""median_pos"": 0.5335750738651625, ""median_neg"": 0.5751695763371512, ""p"": 0.33169875532985266, ""u"": 349.0, ""p3"": {""same_line"": {""n_pos"": 5, ""n_neg"": 87, ""median_pos"": 0.39962395917271015, ""median_neg"": 0.5782989747547128, ""p"": 0.1322565644744443}}}"
primary,EXPR_LOW:AJUBA,KTI12,True,False,"{""n_pos"": 13, ""n_neg"": 104, ""median_pos"": 0.10746832629473216, ""median_neg"": 0.05386121198365865, ""p"": 0.9837357335307984, ""u"": 922.0, ""p3"": {""same_line"": {""n_pos"": 8, ""n_neg"": 84, ""median_pos"": 0.0919797400093218, ""median_neg"": 0.05542158420335906, ""p"": 0.9144370660415939}, ""disjoint"": {""n_pos"": 5, ""n_neg"": 20, ""median_pos"": 0.11747950165051645, ""median_neg"": 0.0470865279479312, ""p"": 0.9645209862601166}}}"
primary,EXPR_LOW:APOL1,CFLAR,True,False,"{""n_pos"": 42, ""n_neg"": 71, ""median_pos"": 0.6371193603922065, ""median_neg"": 0.3580177276390008, ""p"": 0.9996264849976919, ""u"": 2058.0, ""p3"": {""same_line"": {""n_pos"": 34, ""n_neg"": 56, ""median_pos"": 0.6504313968196239, ""median_neg"": 0.3803159671088989, ""p"": 0.9992924449907653}, ""disjoint"": {""n_pos"": 8, ""n_neg"": 15, ""median_pos"": 0.438999789511455, ""median_neg"": 0.3580177276390008, ""p"": 0.9155867464522734}}}"
primary,EXPR_LOW:SYDE1,SNAP23,True,False,"{""n_pos"": 69, ""n_neg"": 48, ""median_pos"": 0.215358841331604, ""median_neg"": 0.06514996475077811, ""p"": 0.9970810605674562, ""u"": 2153.0, ""p3"": {""same_line"": {""n_pos"": 57, ""n_neg"": 34, ""median_pos"": 0.1941328247700247, ""median_neg"": 0.05014468906037222, ""p"": 0.991419266160087}, ""disjoint"": {""n_pos"": 12, ""n_neg"": 14, ""median_pos"": 0.47867084494892886, ""median_neg"": 0.08699133881504346, ""p"": 0.9813787277020103}}}"
primary,EXPR_LOW:SLC16A3,SLC16A1,True,False,"{""n_pos"": 10, ""n_neg"": 107, ""median_pos"": 0.08384872900590104, ""median_neg"": 0.2833163537573376, ""p"": 0.056573655682406736, ""u"": 372.0, ""p3"": {""same_line"": {""n_pos"": 10, ""n_neg"": 82, ""median_pos"": 0.08384872900590104, ""median_neg"": 0.2659789288246227, ""p"": 0.06373965867777838}}}"
primary,EXPR_LOW:FAM229B,KLF5,True,True,"{""n_pos"": 15, ""n_neg"": 103, ""median_pos"": 0.39962395917271015, ""median_neg"": 0.5763225161146922, ""p"": 0.03393761941834235, ""u"": 546.0, ""p3"": {""same_line"": {""n_pos"": 14, ""n_neg"": 78, ""median_pos"": 0.41997045393499866, ""median_neg"": 0.5777361718425658, ""p"": 0.08288086580156534}}}"
primary,EXPR_LOW:SEPTIN5,RAB6A,True,False,"{""n_pos"": 23, ""n_neg"": 87, ""median_pos"": 0.22906264185201997, ""median_neg"": 0.4914192461570857, ""p"": 0.07484030411670671, ""u"": 804.0, ""p3"": {""same_line"": {""n_pos"": 18, ""n_neg"": 70, ""median_pos"": 0.21017158080053694, ""median_neg"": 0.538128210205499, ""p"": 0.029521372421730425}, ""disjoint"": {""n_pos"": 5, ""n_neg"": 17, ""median_pos"": 0.30529230113938877, ""median_neg"": 0.17677534146213825, ""p"": 0.7996126680337207}}}"
primary,EXPR_LOW:BICDL1,ELMO2,True,False,"{""n_pos"": 31, ""n_neg"": 86, ""median_pos"": 0.40443190975020143, ""median_neg"": 0.3823081172168904, ""p"": 0.7244126618761195, ""u"": 1429.0, ""p3"": {""same_line"": {""n_pos"": 28, ""n_neg"": 64, ""median_pos"": 0.4309187152690269, ""median_neg"": 0.2723370958951786, ""p"": 0.8054590728170246}, ""disjoint"": {""n_pos"": 3, ""n_neg"": 22, ""median_pos"": 0.39422508729519207, ""median_neg"": 0.4302794133778089, ""p"": 0.5156521739130435}}}"
primary,EXPR_LOW:GPX8,IRS2,True,False,"{""n_pos"": 37, ""n_neg"": 80, ""median_pos"": 0.3082953702722746, ""median_neg"": 0.25145800939802443, ""p"": 0.4130120124845905, ""u"": 1442.0, ""p3"": {""same_line"": {""n_pos"": 28, ""n_neg"": 64, ""median_pos"": 0.3147209637211026, ""median_neg"": 0.26848161913925933, ""p"": 0.45776364016417226}, ""disjoint"": {""n_pos"": 9, ""n_neg"": 16, ""median_pos"": 0.21448727505058035, ""median_neg"": 0.18204010404631896, ""p"": 0.39945333482163486}}}"
primary,EXPR_LOW:ZEB1,ITGAV,True,False,"{""n_pos"": 48, ""n_neg"": 70, ""median_pos"": 0.4777484005838478, ""median_neg"": 0.4577047992121692, ""p"": 0.6110794455182844, ""u"": 1731.0, ""p3"": {""same_line"": {""n_pos"": 37, ""n_neg"": 55, ""median_pos"": 0.4588425693398069, ""median_neg"": 0.48485092667203866, ""p"": 0.47460353061875055}, ""disjoint"": {""n_pos"": 11, ""n_neg"": 15, ""median_pos"": 0.5664119740422859, ""median_neg"": 0.3330848684911085, ""p"": 0.66100204449352}}}"
primary,EXPR_LOW:PALM2AKAP2,MRPS11,True,False,"{""n_pos"": 20, ""n_neg"": 97, ""median_pos"": 0.1208597831737454, ""median_neg"": 0.06698252383113935, ""p"": 0.8914821724763827, ""u"": 1140.0, ""p3"": {""same_line"": {""n_pos"": 18, ""n_neg"": 74, ""median_pos"": 0.1208597831737454, ""median_neg"": 0.06527285607531741, ""p"": 0.8288887136968515}}}"
primary,EXPR_LOW:HSPG2,EP300,True,True,"{""n_pos"": 7, ""n_neg"": 111, ""median_pos"": 0.11551981509125055, ""median_neg"": 0.509325892201498, ""p"": 0.0036359324779695746, ""u"": 160.0, ""p3"": {""same_line"": {""n_pos"": 4, ""n_neg"": 88, ""median_pos"": 0.08287374172156929, ""median_neg"": 0.5487091103841704, ""p"": 0.03471246226497814}, ""disjoint"": {""n_pos"": 3, ""n_neg"": 23, ""median_pos"": 0.11551981509125055, ""median_neg"": 0.34681400044873234, ""p"": 0.020384615384615383}}}"
primary,EXPR_LOW:KATNAL1,STXBP3,True,False,"{""n_pos"": 13, ""n_neg"": 105, ""median_pos"": 0.1622880468913544, ""median_neg"": 0.23341391351060972, ""p"": 0.22729839499406118, ""u"": 595.0, ""p3"": {""same_line"": {""n_pos"": 8, ""n_neg"": 84, ""median_pos"": 0.08967884702678167, ""median_neg"": 0.2088626321027956, ""p"": 0.12336547463473774}, ""disjoint"": {""n_pos"": 5, ""n_neg"": 21, ""median_pos"": 0.18102365501360687, ""median_neg"": 0.27355844738613416, ""p"": 0.525098814229249}}}"
primary,EXPR_LOW:ELOVL5,TCF7L2,True,True,"{""n_pos"": 6, ""n_neg"": 112, ""median_pos"": 0.08130012731606688, ""median_neg"": 0.5595232052748951, ""p"": 0.0066285707195802455, ""u"": 139.0, ""p3"": {""same_line"": {""n_pos"": 5, ""n_neg"": 87, ""median_pos"": 0.05520880617339991, ""median_neg"": 0.5723537914164999, ""p"": 0.005199042937196331}}}"
