context,drug,beta,r,se,beta_lb,p,n_models,df,q
EXPR_LOW:TRAF3IP2,Nilotinib,-1.2905361414677547,-0.1913476526121705,0.2622874428378627,0.7764527535055439,1.1014220849713389e-06,702,637,0.003585259439115987
EXPR_LOW:EXOC6B,Nilotinib,-1.187503954009812,-0.19421087630609002,0.23765284187735355,0.7217043839301991,7.539915874004221e-07,702,637,0.002889938028060989
EXPR_LOW:CHMP4C,Nilotinib,-0.7149954730577984,-0.19242717021970646,0.14446876616597804,0.4318366913724815,9.554071242506188e-07,702,637,0.0032624660199261726
EXPR_LOW:NOS1AP,Nilotinib,-0.5762486303669813,-0.22105490564656408,0.10073051455864017,0.37881682183204657,1.632825259059242e-08,702,637,0.00029271210641715556
EXPR_LOW:RBM47,Nilotinib,-0.5719396998036106,-0.18614718011195902,0.11960966994294348,0.3375047467154414,2.1608407946246073e-06,702,637,0.0052797518230723985
EXPR_LOW:IL18,Niraparib,-0.649380225430541,-0.18875981260851282,0.13850097317467616,0.3779183180081757,3.4135465288346466e-06,659,595,0.006638425471873096
EXPR_LOW:SP100,Nutlin-3a (-),-1.00740287152281,-0.18053782067581026,0.21593504896345053,0.5841701755544471,3.747336928503944e-06,711,646,0.0069400820615018385
EXPR_LOW:IFI16,Nutlin-3a (-),-0.7084208829743094,-0.1972042553552021,0.13856242348479414,0.4368385329441129,4.1907857175488447e-07,711,646,0.0020276081996645702
EXPR_LOW:STK32A,Nutlin-3a (-),-0.6465818014030135,-0.19633066676089164,0.12705255190959788,0.39755879966020163,4.7234682083833585e-07,711,646,0.0021568838145660904
EXPR_LOW:SAMD9,Nutlin-3a (-),-0.573249767494206,-0.17631922840830547,0.12591283822121785,0.326460604580619,6.328416616491638e-06,711,646,0.009183430081234
EXPR_LOW:IFIT3,Nutlin-3a (-),-0.5613623271773986,-0.1759362056497128,0.12357883059908296,0.319147819203196,6.6327690617131015e-06,711,646,0.009385108302491433
EXPR_LOW:LONRF3,Nutlin-3a (-),-0.4948725881435147,-0.1825204990808155,0.10488376434858306,0.28930041002029194,2.9169623936569207e-06,711,646,0.006024936384057799
EXPR_LOW:CA5B,OTX015,-0.8218610308032863,-0.18746008969852068,0.17699482825432808,0.4749511674248033,4.224591841611105e-06,656,592,0.007440990755413549
EXPR_LOW:ELOVL7,Olaparib,-0.4996596443037543,-0.20090751664903736,0.09585508006414561,0.3117836873780289,2.5084540955060786e-07,711,646,0.001528444978338525
EXPR_LOW:SLC16A1,Osimertinib,-2.0459645931114294,-0.22411462212371722,0.3522308641460082,1.3555920993852535,9.943912465489047e-09,703,638,0.00021543110697566658
EXPR_LOW:LRRC49,Osimertinib,-0.8364490164050438,-0.18377561347390306,0.1771253542480855,0.48928332207879616,2.86840866712701e-06,703,638,0.0059689104735356656
EXPR_LOW:LIX1L,Osimertinib,-0.7081035526590482,-0.18854462152756607,0.14602000297817694,0.42190434682182143,1.5578547776755243e-06,703,638,0.004302450667405354
EXPR_LOW:ZEB1,Osimertinib,-0.5673244262987756,-0.18690301104045434,0.11805479665126764,0.335937024862291,1.9255289636833156e-06,703,638,0.004959613186067567
MUT_HOT:NRAS,PD0325901,-1.4872785506086021,-0.19823795830639415,0.24677053228391893,1.003608307332121,2.446482698715346e-09,956,888,7.889971193802433e-05
MUT_HOT:BRAF,PD0325901,-1.3873178717929917,-0.168051719891752,0.27308996219734744,0.8520615458861908,4.59920221711372e-07,956,888,0.0021169278971194722
MUT_HOT:KRAS,PD0325901,-1.0840303967038905,-0.1760300520762638,0.20342908976250476,0.6853093807693811,1.25413025271908e-07,956,888,0.000966530922069449
EXPR_LOW:PDZRN3,PD0325901,-0.9183208527872257,-0.18281692765150603,0.19430332281243576,0.5374863400748517,2.8090808109773985e-06,711,646,0.005947004028812928
EXPR_LOW:RIMS4,PD0325901,-0.8951786975847985,-0.18281858562826697,0.18940500257315826,0.5239448925414083,2.8084882918306508e-06,711,646,0.005947004028812928
EXPR_LOW:GFRA1,PD0325901,-0.8945786423837067,-0.19233531317777916,0.17958000864604148,0.5426018254374654,8.108740505293962e-07,711,646,0.0029907913456858172
MUT_HOT:BRAF,PLX-4720,-2.1087740152822376,-0.33369816338602126,0.20058858477666947,1.7156203891199655,1.955191547370528e-24,950,882,1.906131881063907e-18
EXPR_LOW:CCDC148,Paclitaxel,-0.9206249535094579,-0.22542211648709992,0.15740234326510819,0.6121163607098459,7.902404729118137e-09,704,639,0.00018564138770253266
EXPR_LOW:NOS1AP,Paclitaxel,-0.7721197042889607,-0.2142241200653791,0.13927225698741322,0.4991460805936308,4.329840163499038e-08,704,639,0.0005147799773312829
EXPR_LOW:ABCB1,Paclitaxel,-0.7462755067132084,-0.19360783566123424,0.14959938530328828,0.45306071151876337,7.852528117826812e-07,704,639,0.0029500934421172647
EXPR_LOW:CEACAM1,Paclitaxel,-0.6889277842778492,-0.19524409649110389,0.13690072532738437,0.42060236263617584,6.307464796603889e-07,704,639,0.0025939492297472498
EXPR_LOW:CCDC96,Paclitaxel,-0.6834882918957516,-0.1906531015785291,0.13921843672709108,0.41062015591065304,1.1609017195645718e-06,704,639,0.0036986025281609725
EXPR_LOW:RORA,Paclitaxel,-0.6220513005627641,-0.18302361254311025,0.13218132740849012,0.3629758988421235,3.098243795617872e-06,704,639,0.00626010914465954
EXPR_LOW:ARHGAP26,Palbociclib,-1.0011315838898036,-0.19167053237236908,0.20169348052126645,0.6058123620681214,8.861995834073385e-07,711,646,0.0031474064242640494
EXPR_LOW:NAV2,Palbociclib,-0.7944917760789592,-0.21106685921810656,0.14476289489112693,0.5107565020923504,5.8368259281280024e-08,711,646,0.0005994632327286401
EXPR_LOW:CHMP4C,Palbociclib,-0.7141910684654529,-0.17962489391395267,0.15388979894640106,0.4125670625305068,4.201658088201235e-06,711,646,0.007420706672920453
EXPR_LOW:CLIC5,Palbociclib,-0.6542963297670594,-0.19402134734840726,0.13015969560739893,0.3991833263765575,6.46408972293352e-07,711,646,0.002620329639752878
EXPR_LOW:LAMB3,Palbociclib,-0.6480429770121474,-0.18461046951883403,0.13573803920260616,0.3819964201750394,2.2334458693454386e-06,711,646,0.005313415184973536
