set,context,drug,tested,replicated,result
primary,MUT_HOT:PTEN,Afuresertib,True,False,"{""res"": {""beta"": -0.07242763058493155, ""r"": -0.07813039294341252, ""p_two"": 0.10286997604450455, ""se"": 0.04431084519217284, ""df"": 435, ""n"": 478, ""n_pos"": 20, ""n_neg"": 458, ""dep_sd"": 0.1847919826762299, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.05143498802225228, ""d_discovery"": 0.8027465132322794, ""d_holdout"": 0.39194141182970293, ""magnitude_ok"": false, ""replicated"": false}}"
primary,MUT_DAM:PTEN,Afuresertib,True,True,"{""res"": {""beta"": -0.10733217333496663, ""r"": -0.18053430911463178, ""p_two"": 0.00014800050031489722, ""se"": 0.028036916025155578, ""df"": 435, ""n"": 478, ""n_pos"": 62, ""n_neg"": 416, ""dep_sd"": 0.1847919826762299, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 7.400025015744861e-05, ""d_discovery"": 0.7737421396102563, ""d_holdout"": 0.5808270022353786, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:EPB41L1,Alisertib,False,False,"{""res"": null, ""rep"": null}"
primary,EXPR_LOW:CAPN8,Alisertib,True,False,"{""res"": {""beta"": -0.07034906932825909, ""r"": -0.05673788919094461, ""p_two"": 0.23818202567244526, ""se"": 0.05955841654046889, ""df"": 432, ""n"": 475, ""n_pos"": 330, ""n_neg"": 145, ""dep_sd"": 0.4906259299568871, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.11909101283622263, ""d_discovery"": 0.41744646854303663, ""d_holdout"": 0.1433863663390985, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:C14orf28,Alisertib,True,False,"{""res"": {""beta"": -0.058294952128010294, ""r"": -0.058301023495618776, ""p_two"": 0.2254763347799344, ""se"": 0.04802568354308524, ""df"": 432, ""n"": 475, ""n_pos"": 183, ""n_neg"": 292, ""dep_sd"": 0.4906259299568871, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.1127381673899672, ""d_discovery"": 0.3413240016034578, ""d_holdout"": 0.1188175116083507, ""magnitude_ok"": false, ""replicated"": false}}"
primary,MUT_HOT:PIK3CA,Alpelisib,True,True,"{""res"": {""beta"": -0.1226210957744125, ""r"": -0.22788756649674974, ""p_two"": 1.955119192853291e-06, ""se"": 0.025413803688995137, ""df"": 425, ""n"": 468, ""n_pos"": 67, ""n_neg"": 401, ""dep_sd"": 0.17960528623611244, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 9.775595964266456e-07, ""d_discovery"": 0.9548657942237498, ""d_holdout"": 0.6827254272082646, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:GSDMD,Axitinib,True,True,"{""res"": {""beta"": -0.20540553914915374, ""r"": -0.24649683356471142, ""p_two"": 1.9838862125681792e-07, ""se"": 0.03885501343127003, ""df"": 432, ""n"": 475, ""n_pos"": 34, ""n_neg"": 441, ""dep_sd"": 0.2030061917251841, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 9.919431062840896e-08, ""d_discovery"": 0.5964995355485971, ""d_holdout"": 1.0118190849430726, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:IKBKE,Axitinib,True,True,"{""res"": {""beta"": -0.11528092731425904, ""r"": -0.11848749422712859, ""p_two"": 0.013511371204718889, ""se"": 0.04648072334109321, ""df"": 432, ""n"": 475, ""n_pos"": 23, ""n_neg"": 452, ""dep_sd"": 0.2030061917251841, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.006755685602359444, ""d_discovery"": 0.5844959634194322, ""d_holdout"": 0.5678690208144905, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:GPRC5A,Axitinib,True,True,"{""res"": {""beta"": -0.16561783079866715, ""r"": -0.21957126238975455, ""p_two"": 3.883314615163157e-06, ""se"": 0.03540462000659269, ""df"": 432, ""n"": 475, ""n_pos"": 44, ""n_neg"": 431, ""dep_sd"": 0.2030061917251841, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 1.9416573075815785e-06, ""d_discovery"": 0.5646156827664024, ""d_holdout"": 0.8158264996314459, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:TRIM38,Axitinib,True,True,"{""res"": {""beta"": -0.11525856205662602, ""r"": -0.16751173939688863, ""p_two"": 0.0004575604902357829, ""se"": 0.0326366641606393, ""df"": 432, ""n"": 475, ""n_pos"": 49, ""n_neg"": 426, ""dep_sd"": 0.2030061917251841, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.00022878024511789144, ""d_discovery"": 0.5348539023969351, ""d_holdout"": 0.5677588504918863, ""magnitude_ok"": true, ""replicated"": true}}"
